quarter,podname,Cluster,Headcount,PointsWon,PointsTarget,UniqueAccountsAdopted,AccountsTarget,Points Attainment,UAA Attainment
2017 Q3,UKI-DUB1,Cluster 1,1,15844,18522,165,155,85.54%,106.45%
2017 Q4,DE-DUB3,Cluster 1,1,10930,21576,129,182,88.00%,106.00%
2017 Q3,UKI-DUB3_4,Cluster 1,0.920000017,15741,17040,193,143,92.38%,134.97%
2017 Q4,DE-DUB1_2,Cluster 1,1,12188,21576,104,182,95.00%,90.00%
2017 Q4,US-NYC6_13,Cluster 1,0.920000017,11084,20561,108,165,96.00%,101.00%
2017 Q3,FR-DUB3_4,Cluster 1,1,20314,19966,176,155,101.74%,113.55%
2017 Q3,FR-DUB1_2,Cluster 1,1,20321,19966,163,155,101.78%,105.16%
2017 Q3,DE-DUB1_2,Cluster 1,1,20675,20272,191,155,101.99%,123.23%
2017 Q4,US-NYC8_9_14_20,Cluster 1,1,14932,22349,147,179,102.00%,112.00%
2017 Q4,UKI-DUB1,Cluster 1,1,12660,19379,117,180,104.00%,98.00%
2017 Q4,FR-DUB3_4,Cluster 1,1,13471,20262,131,175,109.00%,113.00%
2017 Q4,US-NYC4_5,Cluster 1,1,16141,22349,135,179,110.00%,103.00%
2017 Q4,FR-DUB5,Cluster 1,1,15022,20262,137,175,111.00%,107.00%
2017 Q2,DE-DUB1,Cluster 1,1,20462,18042,171,147,113.41%,116.33%
2017 Q4,US-NYC3_11,Cluster 1,1,16619,22349,140,179,114.00%,113.00%
2017 Q3,DE-DUB3_4,Cluster 1,1,23142,20272,191,155,114.16%,123.23%
2017 Q4,FR-DUB1_2,Cluster 1,1,14686,20262,124,175,118.00%,111.00%
2017 Q4,US-NYC7_12_17,Cluster 1,1,18966,22349,192,179,118.00%,131.00%
2017 Q2,DE-DUB2,Cluster 1,1,22374,18042,176,147,124.01%,119.73%
2017 Q4,US-NYC1_15_16,Cluster 1,1,20225,22349,155,179,139.00%,129.00%
2017 Q4,US-NYC18_19,Cluster 1,1,22784,22349,164,179,141.00%,124.00%
2017 Q4,UKI-DUB3_4,Cluster 1,1,18681,19379,186,180,160.00%,133.00%
2017 Q3,AUNZ-SYD3_4,Cluster 2,1,14117,21031,157,155,67.12%,101.29%
2017 Q2,AUNZ-SYD3,Cluster 2,0.850000024,13842,13066,158,125,105.94%,126.40%
2017 Q3,AUNZ-SYD1_2,Cluster 2,1,22476,21031,167,155,106.87%,107.74%
2017 Q4,AUNZ-SYD2,Cluster 2,1,12218,16761,152,170,110%,110%
2017 Q2,AUNZ-SYD2,Cluster 2,1,17694,15372,206,147,115.11%,140.14%
2017 Q3,NL-DUB3_4,Cluster 2,1,25919,20115,203,155,128.85%,130.97%
2017 Q3,NL-DUB1_2,Cluster 2,0.920000017,27402,18506,205,143,148.07%,143.36%
2017 Q4,NL-DUB1_2,Cluster 2,1,20463,25424,187,196,121.00%,118.00%
2017 Q4,NL-DUB3_4,Cluster 2,1,20889,25424,189,196,122.00%,121.00%
2017 Q4,AUNZ-SYD3,Cluster 2,1,18397,16761,116,170,131.00%,84.00%
2017 Q3,RU-DUB1_2,Cluster 4,1,15610,17337,161,155,90.04%,103.87%
2017 Q3,RU-DUB3,Cluster 4,1,22990,17337,165,155,132.61%,106.45%
2017 Q4,RU-DUB1_2,Cluster 4,1,9576,19811,90,158,85.00%,90.00%
2017 Q4,RU-DUB3,Cluster 4,1,21557,19811,156,158,143.00%,126.00%